Original_Structure_Number,Field_Structure_Number,Pole_XY_Coordinate,Lens_Type
1047163E,1047163E,1239653.48307954;12320469.071399,DROP
2247705E,2247705E,1237965.55033236;12317302.3980915,DROP
2266438E,2266438E,1240792.34080823;12317313.6741078,DROP
2380822E,2380822E,1241930.2517882;12320473.4857021,DROP
4115856E,4115856E,1242537.25471131;12322557.3301754,FLAT
4321696E,4321696E,1236967.41784752;12320899.9200083,DROP
4560240E,4560240E,1240512.27152537;12318686.9110879,FLAT
4560922E,4560922E,1236599.78773049;12318769.9600615,FLAT
4584001E,4584001E,1237397.34697243;12318794.3843398,FLAT
4584316E,4584316E,1236606.07683995;12320023.7223301,FLAT
4584333E,4584333E,1237396.10607723;12320341.417724,FLAT
4584373E,4384360E,1240331.30653174;12319846.3400247,FLAT
4584957E,4584957E,1233202.46821506;12318425.186902,DROP
4584963E,4584963E,1233922.75194871;12318424.4789288,FLAT
4584964E,4584964E,1233780.10549996;12318415.5095901,DROP
4584995E,4584994E,1235305.92904295;12318768.7709944,FLAT
4585152E,4585152E,1239595.98932068;12321892.6397435,FLAT
4585167E,4585167E,1238664.22436362;12321537.8895378,FLAT
4585224E,4585224E,1240530.37803149;12321360.1547577,FLAT
4585232E,4585232E,1240814.29835521;12321378.9989505,FLAT
4585240E,4585240E,1240559.47935704;12322862.993566,FLAT
4585354E,4585354E,1235559.43964212;12323350.9181667,FLAT
4585365E,4585365E,1237044.0933009;12322967.435716,FLAT
4595218E,4595218E,1234093.6266493;12322654.5500633,FLAT
4595229E,4595229E,1234101.29547316;12322334.1696633,FLAT
4595232E,4595232E,1234787.79652699;12322330.4090056,FLAT
4595340E,4595340E,1240453.05040214;12322162.6786208,FLAT
4596015E,4596015E,1233456.10159658;12321304.4977167,FLAT
4596209E,4596209E,1237023.57355287;12321913.0670136,FLAT
4596238E,4596238E,1235661.67085861;12321017.6193169,FLAT
4596679E,4596679E,1234313.78254569;12320892.3238727,FLAT
4596688E,4596688E,1235039.40823576;12321265.9272226,FLAT
4617557E,4617557E,1242054.72822164;12317814.9120078,FLAT
4617561E,4617561E,1240931.56103832;12317793.8042263,FLAT
677846E,677846E,1240691.05514585;12321831.4146383,DROP
728850E,728850E,1243274.23423196;12321485.8874971,DROP
814162E,4585634E,1237262.14111732;12319034.3215641,FLAT
819942E,819942E,1243294.0920837;12320474.7613021,DROP
828676E,4585517E,1236210.73446315;12319269.166566,FLAT
968804E,968804E,1242156.45275141;12319644.6503905,DROP
4145154E,4145154E,1274089.2439262;12588095.937625,DROP
4145157E,4145157E,1274431.93382312;12588089.2280586,DROP
4203201E,4203201E,1274073.79249787;12589381.3044703,DROP
4203206E,4203206E,1274064.90340308;12588689.399477,DROP
4203675E,4203675E,1274047.59025036;12597699.0550064,DROP
4203677E,4203677E,1274047.77137803;12597973.72556,DROP
4203780E,4203780E,1275251.82663261;12588758.5117011,DROP
4261265E,4261265E,1275702.65586497;12588872.342454,DROP
4497531E,4497531E,1277812.6048257;12594864.275851,DROP
4497532E,4497532E,1277814.26033042;12594638.314544,DROP
4522119E,4522119E,1276563.16808723;12595286.4442954,DROP
4522123E,4522123E,1276258.22700676;12595038.2992595,DROP
4522411E,4522411E,1275898.84092912;12595527.4477508,DROP
4522419E,4522419E,1275600.98621987;12595266.6143564,DROP
4522420E,4522420E,1275781.19921852;12595246.1915098,DROP
4522421E,4522421E,1275727.66535496;12595076.1136181,DROP
4556210E,4556210E,1276698.57362433;12591570.9231214,DROP
4556758E,4556758E,1276642.51385211;12591757.8151348,DROP
4556760E,4556760E,1276644.95188088;12591482.4902888,DROP
4570903E,4570903E,1276204.91274047;12595740.0715632,DROP
4570908E,4570908E,1276530.23506849;12595780.5714282,DROP
4576685E,4576685E,1276683.27605552;12592531.8409355,DROP
4576688E,4576688E,1276682.33538509;12592191.1082421,DROP
4576694E,4576694E,1276683.64780717;12592729.3687042,DROP
4576769E,4576769E,1276644.54200714;12592946.1318974,DROP
4576772E,4576772E,1276644.32082581;12592365.5055847,DROP
4576773E,4576773E,1276643.53474148;12592249.4597761,DROP
4577475E,4577475E,1275081.99742952;12594973.9020478,DROP
4577479E,4577479E,1274811.28545786;12594856.0106381,DROP
4577482E,4577482E,1274974.17167368;12594743.1200111,DROP
4582052E,4582052E,1276849.35381718;12593985.5246429,DROP
4582060E,4582060E,1276889.68417445;12593527.4889667,DROP
4582781E,4582781E,1274281.03044887;12593518.3373993,DROP
4582784E,4582784E,1274741.07263817;12593542.8111681,DROP
4582903E,4582903E,1274858.26712014;12594412.8166251,DROP
4582918E,4582918E,1274901.79417615;12593513.1167261,DROP
4582935E,4582935E,1275367.03014952;12593838.0463665,DROP
4582936E,4582936E,1275363.57134098;12593692.813461,DROP
4582954E,4582954E,1277690.34911312;12592563.7478752,DROP
4582959E,4582959E,1277950.19758375;12592419.9658871,DROP
4582965E,4582965E,1276976.6097565;12592328.2785609,DROP
4582969E,4582969E,1277543.73206327;12592309.212972,DROP
4582981E,4582981E,1277953.90504482;12591834.616498,DROP
4582982E,4582982E,1277951.20502738;12591970.4518878,DROP
4598621E,4598621E,1274201.14810203;12593380.206509,DROP
4598630E,4598630E,1275346.41314323;12593344.5566303,DROP
4598863E,4598863E,1277082.95057572;12592829.0963106,DROP
4598865E,4598865E,1277082.75152533;12592561.0472538,DROP
4599251E,4599251E,1275428.91974439;12591307.2339475,DROP
4610334E,4610334E,1275095.61198087;12592055.7559869,DROP
4637602E,4637602E,1276515.42310494;12593295.2404688,DROP
4637603E,4637603E,1276457.19695961;12593325.2800209,DROP
4637606E,4637606E,1276265.20054124;12593300.693123,DROP
4637612E,4637612E,1275836.82395255;12593309.123259,DROP
4637613E,4637613E,1276039.95196843;12593301.4425312,DROP
4637619E,4637619E,1276333.20506959;12593110.9811805,DROP
4637622E,4637622E,1276516.97036139;12592959.9465271,DROP
4637623E,4637623E,1276522.35156658;12592823.5887686,DROP
4641703E,4641703E,1275975.08184969;12590875.4758165,DROP
4645540E,4645540E,1277266.87484314;12593303.9075755,DROP
4645541E,4645541E,1277203.80724499;12593333.6586096,DROP
4652760E,4652760E,1273993.58234655;12593377.3963985,DROP
4652762E,4652762E,1273712.72498201;12593382.969454,DROP
4652763E,4652763E,1273581.8789059;12593382.9956135,DROP
4688085E,4688085E,1278327.92058604;12601274.6953393,DROP
4688089E,4688089E,1278334.69063237;12600698.2462893,DROP
4738561E,4738561E,1273448.60425055;12593838.4706798,DROP
4738566E,4738566E,1273044.82918725;12593881.5384961,DROP
4738569E,4738569E,1273032.56523942;12594176.5317024,DROP
4738578E,4738578E,1273034.64371404;12593762.6168203,DROP
4738580E,4738580E,1273038.31000402;12593581.4872968,DROP
1897132E,1897132E,1280192.09897048;12586024.4861606,DROP
1898253E,1898253E,1279492.82276649;12586671.4861599,DROP
1898274E,1898274E,1280179.83561445;12586589.9127349,DROP
1898296E,1898296E,1280636.12381808;12587147.4375352,DROP
1898297E,1898297E,1280811.28894061;12587149.2261292,DROP
1898307E,1898307E,1281479.87259232;12587012.2230621,DROP
1898311E,1898311E,1281576.78607809;12587273.4632327,DROP
1898312E,1898312E,1281753.89004489;12587274.9567719,DROP
2175627E,2175627E,1283237.06026321;12585289.1947861,DROP
2223376E,2223376E,1283357.27405449;12588163.3768124,DROP
2223378E,2223378E,1283462.99971958;12587981.797947,DROP
2259601E,2259601E,1280640.91799696;12585214.6873911,DROP
2259656E,2259656E,1282031.38425403;12587699.1015403,DROP
2273245E,2273245E,1285843.67967667;12585271.4251511,DROP
2294141E,2294141E,1285754.95996615;12584603.4867024,DROP
2294176E,2294176E,1286001.17598228;12583625.9099179,DROP
2305624E,2305624E,1279300.2080226;12586419.6755556,DROP
2305632E,2305632E,1279451.16044029;12586531.8780854,DROP
2373226E,2373226E,1281915.72639353;12582636.63375,DROP
4040677E,4040677E,1280194.17268923;12591673.4189115,DROP
4040775E,4040775E,1284073.51588602;12585535.1209707,DROP
4089564E,4089564E,1281366.17075493;12591401.0337665,DROP
4090522E,4090522E,1280500.07297568;12590627.8369521,DROP
4090525E,4090525E,1279991.0715237;12590653.2140367,DROP
4146561E,4146561E,1285557.09479738;12586614.9224743,DROP
4188045E,4188045E,1281225.38397935;12586994.7342659,DROP
4247733E,4247733E,1282488.03321633;12587928.426975,DROP
4511724E,4511724E,1279295.92469363;12587527.0539307,DROP
4515612E,4515612E,1278270.41316536;12593286.0845899,DROP
4515613E,4515613E,1278465.64772929;12593075.1716869,DROP
4515626E,4515626E,1279296.17902004;12592704.9581948,DROP
4532520E,4532520E,1280706.37569168;12592427.8395265,DROP
4608912E,4608912E,1283300.48713686;12590155.158452,DROP
4608930E,4608930E,1283296.90951257;12589679.1798551,DROP
4608931E,4608931E,1283298.17950287;12589556.5633251,DROP
4645128E,4645128E,1278000.81330115;12593432.6743511,DROP
4657971E,4657971E,1279830.92156126;12592248.9630674,DROP
4670468E,4670468E,1280369.84326957;12592558.4508963,DROP
4670876E,4670876E,1278605.60825616;12593795.4433752,DROP
4848318E,4848318E,1284612.0150592;12586627.8936476,DROP
907568E,907568E,1283040.06983411;12583287.9868608,DROP
917786E,917786E,1284055.71265355;12583287.6659605,DROP
992334E,992334E,1284666.01076828;12583277.5511279,DROP
992335E,992335E,1284666.00741624;12583409.7953048,DROP
K10512Y,K10512Y,1283273.08359722;12585006.5859542,DROP
1435146E,1435146E,1344888.70827667;12340904.3340845,DROP
1452749E,1452749E,1344296.82573116;12339138.409885,DROP
1890353E,1890353E,1343172.14919994;12337917.3108112,DROP
2131517E,2131517E,1341080.15944498;12337040.7367565,DROP
2274567E,2274567E,1341958.35782999;12335303.6560687,DROP
4081548E,4081548E,1345930.8059937;12336492.4647398,DROP
4082455E,4082455E,1345756.20146727;12335871.1972258,DROP
4321379E,4321379E,1342076.36008182;12335399.6479268,DROP
4610984E,4610984E,1339787.98130057;12340586.0727145,DROP
CONV545404,CONV545404,1341301.43588613;12337986.6633389,DROP
1418317E,1418317E,1385257.62073489;12334544.3970214,DROP
1565298E,1565298E,1384504.03146671;12335624.1522735,DROP
2200422E,2200422E,1383189.58564617;12338353.811739,DROP
2218390E,2218390E,1384383.53252767;12338635.1489594,DROP
2218395E,2297952E,1384599.55027425;12339166.0737055,DROP
2219252E,2219252E,1386534.14567506;12338199.8299601,DROP
2219253E,2219253E,1386389.08789129;12338231.0347467,DROP
2219605E,2219605E,1383287.77184606;12339244.3721344,DROP
2220676E,2220676E,1383074.73034787;12333474.3478629,DROP
2220686E,2220686E,1383809.6539923;12334069.7033778,DROP
2220689E,2220689E,1383815.15889585;12334464.958823,DROP
2270919E,2270919E,1383315.51906295;12332067.0599529,DROP
2376691E,2376691E,1381101.6359228;12335715.5643342,N/A
4007065E,4007065E,1382064.73097839;12336616.9151312,DROP
4115819E,4115819E,1382320.59932005;12331857.6587434,DROP
4337489E,4337489E,1380714.22472648;12335144.6623518,FLAT
4610797E,4610797E,1382868.99020053;12331404.4543066,DROP
4626629E,4626629E,1386213.1164139;12333691.2830672,DROP
2298433E,2298433E,1390170.04124264;12342826.8218805,DROP
2298434E,2298434E,1390091.95526736;12342970.8355769,DROP
4031179E,4031179E,1387636.57725376;12343345.2640171,DROP
4031182E,4031182E,1387441.10196959;12343347.7921624,DROP
4031366E,4031366E,1387293.45948632;12343271.7894091,DROP
4272769E,4272769E,1391172.16197997;12340852.5196169,DROP
4648356E,4648356E,1390799.38629241;12340116.3577727,DROP
1526604E,1526604E,1127836.22908618;12403879.1194855,DROP
1526612E,1526612E,1127663.14151886;12404977.9952412,DROP
1526620E,1526620E,1127357.38687864;12403774.8287615,DROP
1576502E,1576502E,1127604.32237901;12405055.0732877,DROP
1576505E,1576505E,1127150.36805119;12405177.2347117,DROP
1576516E,1576516E,1127604.12089926;12404657.5381603,DROP
1638904E,1638904E,1127583.75286337;12406742.912027,DROP
1647072E,1647072E,1127992.78709371;12405796.0781392,DROP
1647073E,1647073E,1127996.41736943;12405931.386294,DROP
1647074E,1647074E,1127986.33558593;12406060.5621067,DROP
1647081E,1647081E,1127494.22280665;12406562.2048088,DROP
1647087E,1647087E,1126750.66185498;12406578.1749778,DROP
2082252E,2082252E,1125650.88123129;12405343.6939455,DROP
2082255E,2082255E,1125609.12183713;12405436.7595301,DROP
2082256E,2082256E,1125812.57046432;12405087.3671003,DROP
2082257E,2082257E,1125891.7722028;12404981.8219293,DROP
2082258E,2082258E,1125939.00707041;12404894.2665336,DROP
2082259E,2082259E,1125996.01668248;12404807.161371,DROP
2082268E,2082268E,1126730.17606406;12403584.5776978,DROP
2082269E,2082269E,1126793.91430586;12403459.7064912,DROP
2086049E,2086049E,1126939.33949547;12403172.8274854,DROP
2197118E,2197118E,1139241.43202306;12417435.3370721,DROP
2241435E,2241435E,1139573.21867087;12418482.1969361,DROP
3006450E,3006450E,1125553.69697242;12406706.2324778,DROP
3006452E,3006452E,1125512.24113416;12406417.2786395,DROP
3006460E,3006460E,1125787.7855584;12405698.1675037,DROP
3006463E,3006463E,1126220.96125931;12405771.7232163,DROP
3006467E,3006467E,1126293.42505754;12406205.6893275,DROP
4080385E,4080385E,1127531.64853597;12402687.9897303,DROP
4097113E,4097113E,1126351.97576305;12407012.0196045,DROP
4108501E,4108501E,1131561.67828556;12404828.7760568,DROP
4108504E,4108504E,1131315.26460745;12404893.2314259,DROP
4108511E,4108511E,1130788.14699248;12405163.8686696,DROP
4108532E,4108532E,1132176.47482727;12404490.3763889,DROP
4108760E,4108760E,1131873.49285977;12405491.2135308,DROP
4108770E,4108770E,1131369.29539182;12406652.8965692,DROP
4108771E,4108771E,1131886.07284017;12406199.1389071,DROP
4108818E,4108818E,1132175.45629099;12402877.3443865,DROP
4108822E,4108822E,1132078.03860169;12403120.7942314,DROP
4108844E,4108844E,1131535.55910937;12404543.7916852,DROP
4124981E,4124981E,1129214.16378465;12406502.0770937,DROP
4125049E,4125049E,1131891.5769366;12407925.9863801,DROP
4125255E,4125255E,1130181.49251135;12407191.4401637,DROP
4125516E,4125516E,1127826.30296655;12405246.8477026,DROP
4126069E,4126069E,1130193.51585743;12407554.4050115,DROP
4374969E,4374969E,1125484.48575285;12406484.4240719,DROP
4434278E,4434278E,1131911.90008214;12405344.7800623,DROP
4437580E,4437580E,1125335.38165254;12405500.6235204,DROP
4437584E,4437584E,1124923.43473884;12405557.6962492,DROP
4733043E,4733043E,1127378.03623251;12402682.85518,DROP
1666213E,1666213E,1121719.53325154;12399104.140312,DROP
1754240E,1754240E,1126433.25928252;12399165.4922111,DROP
1976906E,1976906E,1119735.67633557;12395450.0788324,DROP
1998441E,1998441E,1122255.83323637;12400549.4058447,DROP
3004732E,3004732E,1126933.95435013;12401047.9748139,DROP
4047453E,4047453E,1124323.82935207;12395184.3541882,DROP
4047457E,4047457E,1124015.80612512;12394682.8840787,DROP
4080901E,4080901E,1126102.83097324;12398128.3563771,DROP
4081270E,4081270E,1120358.18563351;12397667.7927675,DROP
4093601E,4093601E,1122870.19066969;12395221.675813,DROP
4093707E,4093707E,1123252.559419;12396108.2999753,DROP
4093909E,4093909E,1124130.43370718;12393204.9853445,DROP
4093910E,4093910E,1124028.83447962;12393318.0665676,DROP
4093911E,4093911E,1123943.625592;12393410.5911351,DROP
4093912E,4093912E,1123855.06728709;12393548.0539126,DROP
4093913E,4093913E,1123789.32734838;12393680.5326665,DROP
4093954E,4093954E,1123963.0857847;12396208.4162611,DROP
4093958E,4093958E,1123984.5170475;12395991.1687071,DROP
4093997E,4093997E,1123044.56814452;12394611.8604237,DROP
4094013E,4094013E,1123215.577177;12397095.9853381,DROP
4094015E,4094015E,1122927.71684727;12396980.5776556,DROP
4108422E,4108422E,1119303.40454601;12393901.2498084,DROP
4108942E,4108942E,1124661.40686016;12395542.3073436,DROP
4249419E,4249419E,1118401.68504945;12394706.2107367,DROP
4249421E,4249421E,1118421.85560109;12394492.5358159,DROP
4343140E,4343140E,1122341.69805779;12396985.3408845,DROP
4403492E,4403492E,1125016.92021831;12394335.9829304,DROP
4432941E,4432941E,1126262.78114082;12399652.8985593,N/A
CONV589064,CONV589064,1123332.69613192;12394382.5337198,DROP
1940596E,1940596E,1111015.75658669;12402110.8870506,DROP
1940600E,1940600E,1111706.87089567;12401987.1264029,DROP
2013376E,2013376E,1109961.33640451;12408303.8463799,DROP
2013378E,2013378E,1109921.41692811;12408246.8201296,DROP
2013382E,2013382E,1109628.16168959;12408104.1222891,DROP
2037765E,2037765E,1109619.95269868;12402051.5917165,DROP
2037832E,2037832E,1108049.73004897;12398032.1627788,DROP
2037834E,2037834E,1107883.01950251;12398383.1594381,DROP
2054976E,2054976E,1103000.40554981;12394517.4554908,DROP
2064426E,2064426E,1110364.40778411;12407698.9796616,DROP
2081915E,2081915E,1111283.36267623;12407982.747251,DROP
2082048E,2082048E,1110675.98069888;12408287.4705688,DROP
2106852E,2106852E,1109372.68247053;12401635.875509,DROP
2137114E,2137114E,1113825.12357061;12400435.5313861,DROP
2161310E,2161310E,1109188.26216705;12406564.3204013,DROP
2161334E,2161334E,1110032.34872515;12406105.2541962,DROP
2171931E,2171931E,1110418.8495336;12405089.9106215,DROP
2171940E,2171940E,1110236.2369997;12405404.5830547,DROP
2171949E,2171949E,1108915.61539946;12406931.481766,DROP
2197403E,2197403E,1114245.10436492;12398509.8334194,DROP
2197422E,2197422E,1114675.53096706;12398428.9637938,DROP
2210072E,2210072E,1105887.74450187;12408531.9797873,DROP
2210082E,2210082E,1106503.55176131;12408599.0741905,DROP
2210083E,2210083E,1106401.77266507;12408448.2966555,DROP
2210086E,2210086E,1106746.64403919;12408482.8274613,DROP
2214029E,2214029E,1108003.1683425;12406043.5161085,DROP
2239882E,2239882E,1107938.44723342;12407947.7162548,DROP
2240383E,2240383E,1104549.7516156;12402117.2643734,DROP
2240388E,2240388E,1104864.90839467;12401642.1306667,DROP
2240810E,2240810E,1105002.61220908;12404182.5175865,DROP
2240812E,2240812E,1105296.94787294;12404169.089823,DROP
2280079E,2280079E,1106906.58625189;12404411.8319101,DROP
2280099E,2280099E,1106131.90357583;12404884.7113507,DROP
3004296E,3004296E,1104534.13916661;12404381.7349261,DROP
3004299E,3004299E,1104376.36905912;12404527.1089971,DROP
3004472E,3004472E,1109872.74066936;12400638.6877551,DROP
3004476E,3004476E,1110073.46078668;12400591.2591331,DROP
3005156E,3005156E,1104961.42917275;12403240.2800719,DROP
3005563E,3005563E,1111483.81034398;12401855.162502,DROP
4046966E,4046966E,1105465.08152904;12403710.0921755,DROP
4125602E,4125602E,1109250.29121887;12399870.9143167,DROP
4511261E,4511261E,1108275.8354342;12400906.8324281,DROP
CONV532312,CONV532312,1113958.36686272;12400664.4568228,DROP
1647604E,1647604E,1099859.8607428;12401549.4651795,N/A
1647605E,1647605E,1099884.67998717;12401677.3752009,N/A
1647605E,1647605E,1099884.67998717;12401677.3752009,N/A
1665545E,1665545E,1100113.05567693;12402667.4354564,N/A
1709078E,1709078E,1101100.34879923;12404827.848732,N/A
1709080E,1709080E,1101097.9454545;12404562.9891615,N/A
1709563E,1709563E,1099975.79593063;12403113.1321263,N/A
1977012E,1977012E,1098409.73214626;12401648.3385416,N/A
2012801E,2012801E,1099708.36815215;12401152.5465625,N/A
2012804E,2012804E,1099258.95680108;12401122.4279459,N/A
2037410E,2037410E,1098497.44980906;12401093.2673655,N/A
2137296E,2137296E,1101778.68934883;12402069.5969627,DROP
2189182E,2189182E,1101189.97016721;12403905.7772779,DROP
2189183E,2189183E,1101077.05456022;12403840.3242152,DROP
2189184E,2189184E,1100942.44600402;12403821.7191641,DROP
2189186E,2189186E,1100711.06722524;12403635.0803828,DROP
2189187E,2189187E,1100563.19573249;12403695.2732729,DROP
2189195E,2189195E,1100406.18348114;12402854.9982545,DROP
2189461E,2189461E,1101615.82602555;12402055.916233,DROP
2197101E,2197101E,1098122.5875512;12405899.4946973,DROP
2240040E,2240040E,1101631.50638465;12402459.3813602,DROP
2240560E,2240560E,1103443.63279375;12400391.4580292,DROP
2240603E,2240603E,1103404.14688499;12403433.1097783,DROP
2241018E,2241018E,1101713.37658609;12404560.0739461,DROP
2241050E,2241050E,1101676.81226199;12405352.6166137,DROP
2241085E,2241085E,1101514.34350466;12405581.6450682,DROP
2279626E,2279626E,1100241.84958066;12406261.9802998,DROP
2279627E,2279627E,1100164.92449634;12406363.5687527,DROP
2279662E,2279662E,1100253.44406746;12406654.2439152,DROP
2288793E,2288793E,1101682.45114558;12403023.7137864,DROP
3003003E,3003003E,1102960.36268478;12403466.1289901,DROP
3005513E,3005513E,1100307.57099067;12401210.9801065,N/A
4312717E,4312717E,1096699.24398165;12403677.1491616,DROP
4460216E,4460216E,1101637.17629582;12404874.3548933,DROP
4726752E,4726752E,1099349.15424962;12404458.7576292,N/A
1099406E,1099406E,1229768.09316458;12333579.0016376,DROP
1378501E,1378501E,1221812.34423837;12337452.0455855,DROP
1378505E,1378505E,1222034.03466895;12337968.1067376,DROP
1477202E,1477202E,1224566.74206357;12337582.2051107,DROP
1612360E,1612360E,1222603.13350844;12338441.6533733,DROP
1700071E,1700071E,1229136.12460134;12334037.1688096,DROP
1700692E,1700692E,1231162.53195697;12335162.6820555,FLAT
1701501E,1701501E,1229211.1694921;12334041.1908418,DROP
1701502E,1701502E,1229378.3715935;12334211.9958249,DROP
1701506E,1701506E,1228980.21391742;12334504.1421777,FLAT
1701513E,1701513E,1230368.4597752;12333843.1628148,FLAT
1701516E,1701516E,1231855.70205418;12334720.7183971,FLAT
1714212E,1714212E,1227831.61775987;12335293.9923493,DROP
1767061E,4596749E,1231242.68901161;12333714.8072768,FLAT
1892726E,1892726E,1228441.95516416;12336862.8776691,DROP
1892731E,1892731E,1228509.89602724;12333860.3303741,DROP
2027850E,2027850E,1225552.21758136;12334162.4588159,DROP
2244468E,2244468E,1234153.6538188;12338043.4384148,DROP
234169E,234169E,1230054.83152011;12334407.1778762,DROP
2380540E,2380540E,1231829.24496483;12336991.7999238,DROP
319977E,319977E,1227248.1357587;12335559.5505443,DROP
4388196E,4388196E,1234324.94555774;12336914.3442949,DROP
4457191E,4457191E,1222952.17117445;12337492.7209698,DROP
4584448E,4584448E,1224168.60999515;12338491.2843927,FLAT
4596589E,4596589E,1232048.51043202;12339012.7123566,FLAT
4617532E,4617532E,1225508.74839628;12338666.8330702,FLAT
4618210E,4618210E,1228599.1366507;12336529.1293832,FLAT
4618221E,4618221E,1226715.83728109;12336531.365766,FLAT
4618224E,4618224E,1226727.8557416;12337071.1510196,FLAT
4618244E,4618244E,1227892.62492339;12336679.044022,FLAT
4618254E,4618254E,1225846.52078289;12336499.6769379,FLAT
4618257E,4618257E,1225883.59058077;12336659.1759382,FLAT
4618263E,4618263E,1225214.50801464;12336031.9494788,FLAT
4618274E,4618274E,1225429.28455328;12337170.0301276,FLAT
4618363E,4618363E,1226317.58220508;12334893.7276432,FLAT
4618366E,4618366E,1225980.53799147;12335195.7734039,FLAT
4618383E,4618383E,1225536.74988315;12335029.9208395,FLAT
4618385E,4618385E,1225963.91721432;12334295.2827587,FLAT
4618392E,4618392E,1226391.88346254;12334822.5356417,FLAT
4618398E,4618398E,1226850.90541571;12334461.840923,FLAT
4618610E,4618610E,1232741.11972912;12335914.0631557,FLAT
4618636E,4618636E,1232409.81134551;12336479.9068095,DROP
4618645E,4556297E,1231698.7474335;12336875.5103765,DROP
4619453E,4619453E,1229365.61921513;12338305.6972103,FLAT
4619492E,4619492E,1228389.47974102;12338187.2734376,FLAT
