Original_Structure_Number,Field_Structure_Number,Pole_XY_Coordinate,Lens_Type
4634062E,4634062E,1235693.99804045;12339006.2842194,FLAT
4634149E,4634149E,1235651.88666789;12338261.9754524,DROP
4634902E,4634902E,1233021.18673462;12338205.6488456,FLAT
4634917E,4634917E,1232890.71297873;12337805.8956584,FLAT
4634938E,4634938E,1231686.39898031;12338693.4622303,FLAT
4682230E,4682230E,1229405.25024994;12335731.9463838,FLAT
530117E,530117E,1229240.331773;12333515.8712269,DROP
538583H,538583H,1229611.65305862;12335619.8041108,DROP
702772E,702772E,1229823.05983695;12334730.1560932,DROP
747310H,747310H,1224633.73821851;12338351.2478394,DROP
871467E,871467E,1231362.57853671;12334399.1710313,DROP
CONV236708,785060E,1227100.95622605;12338158.1746694,DROP
CONV569582,851877E,1221133.38845667;12337372.8851174,DROP
CONV569643,CONV569643,1225191.12536472;12336925.1529537,DROP
CONV570119,851861E,1224355.68442165;12337575.9489814,DROP
CONV571123,1516579E,1229499.8502978;12333788.4663898,DROP
CONV571124,1631114E,1229401.95120743;12333641.7551449,DROP
CONV591315,CONV591315,1229066.05966036;12338439.1409147,DROP
1700094E,1700094E,1227688.13992378;12332949.1204427,DROP
1767067E,4596740E,1231604.90138135;12333042.1748098,FLAT
1790998E,1790998E,1231988.63253233;12332794.2162063,DROP
1791301E,1791301E,1232598.95763115;12328594.7710399,FLAT
1892753E,1892753E,1228363.76801677;12332234.4175182,DROP
1982948E,1982948E,1229013.25963079;12332969.8861137,DROP
2175180E,2175180E,1224565.85271882;12331823.8454559,DROP
2380651E,2380651E,1224069.72757803;12331425.3386322,DROP
293485E,293485E,1225951.5196535;12332809.7179882,DROP
4585711E,4585711E,1231230.79169536;12330800.3001382,FLAT
4585713E,4585713E,1231485.00056016;12331002.2229007,FLAT
4585714E,4585714E,1231564.38722612;12330848.957476,FLAT
4585726E,4585726E,1231338.80414631;12330186.9680799,FLAT
4585727E,4585727E,1231416.17187824;12330215.960446,FLAT
4585757E,4585757E,1230917.32394239;12328992.5867065,FLAT
4585762E,4585762E,1231178.33769555;12328611.2382961,FLAT
4585796E,4585796E,1232128.2319991;12329534.7802259,FLAT
4585799E,4585799E,1231614.04196815;12329781.9747323,FLAT
4585879E,4585879E,1229757.79410088;12330633.4719038,FLAT
4585885E,4585885E,1228121.01810982;12330403.0166117,FLAT
4595792E,4595792E,1228950.42444685;12330005.7164631,DROP
4596384E,4596384E,1231846.01418552;12332130.1457926,FLAT
4596388E,4596388E,1232866.76018021;12332451.1891177,FLAT
4596852E,4596852E,1225641.29417965;12330394.6414034,FLAT
4596862E,4596862E,1226285.85327446;12330761.6002194,DROP
4596869E,4596869E,1226284.94598656;12329999.6975743,FLAT
4596876E,4596876E,1226523.20893395;12330791.2252391,FLAT
4596899E,4596899E,1230250.79930985;12329792.1605272,FLAT
4597751E,4597751E,1232602.1349628;12329531.6189351,FLAT
4597779E,4597779E,1229258.45154163;12329286.2820254,FLAT
4597928E,4597928E,1225659.42864769;12328969.7647471,FLAT
4701495E,4701495E,1231355.91532497;12332810.4420168,DROP
484638H,484638H,1229414.90523356;12329870.0171904,DROP
600044H,600044H,1229005.98831428;12330180.3005649,DROP
679992H,679992H,1228906.89650227;12332787.2902671,DROP
770585H,770585H,1230864.74163017;12331715.9535176,DROP
96221H,96221H,1224019.81468285;12331047.0305319,DROP
CONV570320,4560303E,1230376.12602549;12331587.3246686,DROP
CONV570337,1055475E,1232099.19117884;12332453.817586,DROP
CONV573803,431472H,1226875.02253454;12328407.6179788,DROP
1636661E,1636661E,1237127.46499927;12330290.6906794,DROP
1791061E,1791061E,1238611.10252425;12327738.7112113,DROP
2247540E,819908E,1238159.86232778;12330946.1861782,DROP
300823E,300823E,1240122.29113078;12330305.7455862,DROP
417425E,417425E,1238740.35766372;12331220.601361,DROP
4370883E,4370883E,1238402.58727834;12334387.6062537,DROP
4484382E,4121463E,1239318.03600675;12333661.7876913,DROP
4585319E,4585319E,1237233.63753519;12331843.1214561,FLAT
4585406E,4585406E,1238565.16285671;12327512.339242,FLAT
4585407E,4585407E,1238570.42115238;12327378.2875769,FLAT
4585408E,4585408E,1238596.96801199;12327189.9634827,FLAT
4585425E,4585425E,1239586.02846991;12328049.9983691,FLAT
4585426E,4585426E,1239586.71433347;12327872.0104459,FLAT
4585446E,4585446E,1240291.35154699;12327115.9496867,FLAT
4585624E,4585624E,1239667.97773991;12331349.2197355,FLAT
4585801E,4585801E,1238566.41709171;12327089.7985266,FLAT
4585823E,4585823E,1239571.42196542;12327080.3110224,FLAT
4585824E,4585824E,1239575.98759617;12326739.2926757,FLAT
4595995E,4595995E,1237717.44960212;12326218.5168342,FLAT
4596170E,4596170E,1239548.83224736;12332182.6659216,FLAT
4596291E,4596291E,1239321.5119526;12329581.5338797,FLAT
4596296E,4596296E,1239286.49515943;12330313.6136404,FLAT
4596403E,4596403E,1239662.94662512;12330351.7112865,FLAT
4596408E,4596408E,1239617.72846144;12329719.3777256,FLAT
4596440E,4596440E,1240953.32169817;12330469.9181352,FLAT
4596446E,4596446E,1237220.80498343;12330397.1460796,FLAT
4596510E,4596510E,1238960.52094394;12328851.0331763,FLAT
4596646E,4596646E,1239674.61876355;12333710.1437006,FLAT
4596785E,4596785E,1240302.80816938;12328424.6325976,FLAT
4596815E,4596815E,1237300.71243929;12328762.6423816,FLAT
4596844E,4596844E,1237847.10233012;12326500.7989003,FLAT
4596846E,4596846E,1237312.25658577;12326276.7771896,FLAT
4596951E,4596951E,1240895.52494425;12326535.7758885,FLAT
4596993E,4596993E,1240255.59209761;12332944.6824616,FLAT
4618056E,4618056E,1239063.72484392;12334711.967952,FLAT
4618076E,4618076E,1239058.46126399;12334384.0768102,FLAT
4618777E,4618781E,1236764.15838248;12333032.0812961,FLAT
4756311E,4756311E,1238393.35921351;12334210.7056678,DROP
CONV235537,1006599E,1240384.35633877;12334157.8580124,DROP
CONV569915,1612611E,1236582.90773987;12330319.7659326,DROP
1541373E,574393H,1229878.96606188;12324570.5973855,DROP
1713561E,1713561E,1227652.49612349;12325813.1819037,DROP
1714082E,1714082E,1229044.66630247;12325572.1117324,DROP
1714200E,1714200E,1226889.21780335;12324563.4547571,DROP
1761371E,4595600E,1230497.23960501;12325520.4503309,FLAT
2381168E,2381168E,1225804.02947419;12324693.5418365,DROP
2381175E,2381175E,1226319.70752839;12325519.747107,DROP
4255084E,4255084E,1229003.04869478;12324896.2693399,DROP
4431227E,4431227E,1227688.58672996;12325103.1561869,FLAT
4585025E,4585025E,1232667.68109895;12325189.2796116,FLAT
4585034E,4585034E,1234185.38596089;12324769.0003567,FLAT
4585045E,4585045E,1234015.76489219;12324130.8873077,FLAT
4595085E,4595085E,1232485.46235288;12327863.3321675,FLAT
4595087E,4595087E,1232491.82029501;12327506.2930483,FLAT
4595105E,4595105E,1232430.25339395;12326308.2329972,FLAT
4595162E,4595162E,1229789.37439375;12327832.3839773,FLAT
4595277E,4595277E,1225901.43435909;12327696.3866263,FLAT
4595582E,4595582E,1231413.28852277;12326008.3786919,FLAT
4596062E,4596062E,1229089.38026717;12328211.4392927,FLAT
4596096E,4596096E,1231966.58863031;12328176.0402422,FLAT
614154E,4443223E,1231014.86279635;12324572.8346431,DROP
662282E,662283E,1226001.81843032;12324601.9805837,DROP
90484H,90484H,1230747.67897708;12326095.1302075,DROP
968989E,968989E,1230478.89768266;12324262.8372187,DROP
CONV242635,783121E,1225303.37372578;12325715.9356464,DROP
1037448E,1037448E,1236688.17767366;12324803.0713534,FLAT
1767218E,4596028E,1239724.98712569;12324432.6445915,FLAT
4453060E,4453060E,1240879.91842802;12325182.7022138,DROP
4585294E,4585294E,1237958.50617799;12323378.733641,FLAT
4595460E,4595460E,1236325.01146063;12324500.8674275,FLAT
4595464E,4595464E,1236694.22295812;12324499.0283385,FLAT
4595470E,4595470E,1237188.12199781;12324703.0980987,FLAT
4595473E,4595473E,1237459.25395215;12324505.8924855,FLAT
4613599E,163051M,1242143.27299991;12325709.0492096,DROP
711357E,711357E,1241045.02626432;12324371.4928187,DROP
728784E,728784E,1241371.8996869;12325442.1096205,DROP
906484E,906484E,1240898.24857662;12324233.4177151,DROP
CONV569062,4595487E,1237156.08123769;12325107.9497155,FLAT
CONV569122,4596610E,1238789.58416024;12323439.4152583,FLAT
CONV588753,4283896E,1240429.09027692;12323139.6531911,DROP
1550169E,1550169E,1364445.34919343;12239674.0018439,DROP
2023339E,2023339E,1368109.03588853;12236768.8117896,DROP
2023535E,2023535E,1361810.42704338;12237178.6181974,DROP
2061145E,2061145E,1362189.70732504;12238165.8855209,DROP
2061610E,2061610E,1363298.98785066;12239209.235096,DROP
2061786E,2061786E,1368769.25667963;12235025.9660724,DROP
2083036E,2083036E,1366184.71726834;12238713.6181326,DROP
2095934E,2095934E,1366518.19512869;12240181.6035443,DROP
2095938E,2095938E,1366651.41589747;12239723.6709845,DROP
2096185E,2096185E,1366113.2287436;12239769.8317942,DROP
2117244E,2117244E,1365527.53646756;12236090.634875,DROP
2117261E,2117261E,1360756.7414762;12239537.9040563,DROP
2117264E,2117264E,1360216.25254028;12239391.7917097,DROP
2145590E,2145590E,1368984.20424441;12235025.4969123,DROP
2145593E,2145593E,1369191.51872225;12234692.0569803,DROP
2145989E,2145989E,1369312.39261058;12235830.6156393,DROP
2243506E,2243506E,1362625.37492155;12233651.0776586,DROP
2319999E,2319999E,1360857.94364034;12234693.6448361,DROP
2340978E,2340978E,1360863.18042967;12237015.2348611,DROP
2349356E,2349356E,1366043.98854349;12238258.7395879,DROP
4009089E,4009089E,1364416.49919299;12238528.0996843,FLAT
4024621E,4024621E,1365530.12528723;12235163.895861,FLAT
4288614E,4288614E,1365571.76594858;12236056.9591432,DROP
4411986E,4411986E,1365072.6645452;12236372.8084192,DROP
4461138E,4461138E,1360858.14252152;12235697.0574682,DROP
4520866E,4520866E,1368342.99432619;12235338.2747338,N/A
4522736E,4522736E,1368018.34626942;12236123.1733667,N/A
4696980E,4696980E,1360505.83806407;12240243.2960341,DROP
1301838E,1301838E,1328523.18003874;12267640.1022867,DROP
1315486E,1315486E,1330238.40104806;12266842.4398826,DROP
1316023E,1316023E,1328795.59049166;12267290.1166754,DROP
1326756E,1326756E,1326080.85664649;12267629.8251823,DROP
1326922E,1326922E,1328972.61613015;12268834.9864698,DROP
1351161E,1351161E,1330996.5197021;12268777.3199764,DROP
1357246E,1357246E,1331537.58195992;12264847.8727127,DROP
1357247E,1357247E,1331675.26264763;12264833.109004,DROP
1357250E,1357250E,1331911.14494741;12264841.7782096,DROP
1361332E,1361332E,1333243.33439004;12265050.1552868,DROP
1374224E,1374224E,1331732.78197831;12265040.4649763,DROP
1374258E,1374258E,1330636.75339324;12265789.5209438,DROP
1379199E,1379199E,1332180.15863603;12263135.1077532,DROP
1389469E,1389469E,1332849.24282799;12267337.7926564,DROP
1447675E,1447675E,1328578.44577105;12264068.3767552,DROP
1478369E,1478369E,1328327.08726728;12263138.826436,DROP
1494883E,1494883E,1336657.47655433;12262931.8629297,DROP
1535113E,1535113E,1324583.88641593;12265133.8448867,DROP
1590528E,1590528E,1325110.29156445;12264351.7603774,DROP
1590535E,1590535E,1325378.75679991;12264276.6788777,DROP
1613730E,1613730E,1336221.0383491;12267952.5037964,DROP
1642433E,1642433E,1337561.71904932;12262193.0351984,DROP
1643063E,1643063E,1326846.8533886;12265342.8090816,DROP
1677791E,1677791E,1332742.09974693;12264818.6642094,FLAT
1716075E,724808E,1336829.50301198;12262216.2625148,DROP
1838549E,1838549E,1334894.64960804;12263111.333044,DROP
1956214E,1956214E,1335210.0474583;12264880.1221316,DROP
2022901E,2022901E,1334231.57302069;12264840.2039915,DROP
2022903E,2022903E,1334234.53302429;12265411.083448,DROP
2023305E,2023305E,1326418.35874228;12263873.1360408,DROP
2023331E,2023331E,1328043.78071629;12268844.4130086,DROP
2047660E,2047660E,1333252.9171105;12265674.0671627,DROP
2083126E,2083126E,1333368.88840886;12263629.6782506,DROP
2098985E,2098985E,1333298.05456877;12266359.2162392,DROP
2117604E,2117604E,1334707.50464381;12267516.9002328,DROP
2118055E,2118055E,1335410.94591185;12270114.2218828,DROP
2118071E,2118071E,1334253.94622455;12269166.2760062,DROP
2118090E,2118090E,1334626.63199699;12269338.8699074,DROP
2146131E,2146131E,1326840.24459009;12263309.2617281,DROP
2159678E,2159678E,1335216.25958957;12268381.2854746,DROP
2159755E,2159755E,1336196.18194756;12270900.5807763,DROP
2243218E,2243218E,1330689.34499285;12266975.5986821,DROP
2256763E,2256763E,1335673.54939293;12271149.816873,DROP
4008930E,4008930E,1327072.51623457;12264534.6047369,FLAT
4314025E,4314025E,1334214.14481316;12265559.5050512,FLAT
4460571E,1680768E,1336782.61305453;12264885.2572309,DROP
C6389Y,C6389Y,1333255.19287507;12266199.9508315,DROP
CONV481162,1316129E,1330229.2444544;12268701.9124279,DROP
1787821E,1787821E,1316563.8624551;12262724.6799823,DROP
1788690E,1788690E,1323003.33193003;12263712.0070092,FLAT
1880755E,1880755E,1318879.78812196;12264494.640638,DROP
1880756E,1880756E,1319072.85621856;12264619.9782409,DROP
1880764E,1880764E,1318755.88094194;12264202.833263,DROP
1386960E,1386960E,1441886.79464008;12381770.0821395,DROP
1714619E,1714619E,1447155.7895387;12381654.5209537,DROP
2067029E,2067029E,1440807.7433752;12378161.9160376,DROP
1820179E,4292380E,1444869.59653686;12382507.3177332,DROP
4397198E,4397198E,1448008.86525446;12377170.3097318,DROP
4594865E,4594865E,1442907.91511077;12378222.7749738,DROP
737942E,737942E,1445662.39371755;12378981.8798955,DROP
1714729E,1714729E,1439596.24338518;12389786.0589506,DROP
1714739E,1714739E,1438665.8529068;12388890.423897,DROP
1970890E,1970890E,1437970.99299593;12386094.56846,FLAT
1998503E,1998503E,1440495.93512234;12391826.8793391,FLAT
2026870E,2026870E,1437372.74078252;12383884.8173684,DROP
2067267E,2067267E,1438528.07077463;12387574.6381111,DROP
2087598E,2087598E,1437862.54148059;12386786.6517808,FLAT
2092456E,2092456E,1434986.83709136;12387454.4510856,DROP
2092945E,2092945E,1437587.68234196;12388041.9414582,DROP
2092966E,2092966E,1439220.96595847;12387862.7343476,DROP
2108021E,2108021E,1437204.78829074;12390363.8789084,DROP
1273871E,1273871E,1440778.84052273;12383455.9589113,DROP
2108040E,2108040E,1441013.17182498;12390867.5958274,DROP
2158570E,2158570E,1448804.52687809;12386306.8055987,DROP
2158586E,2158586E,1448469.77689047;12385206.5115974,DROP
2174117E,2174117E,1445091.30229683;12387623.5968844,DROP
2306691E,2306691E,1445937.61427941;12386856.7969037,DROP
2374155E,2374155E,1448889.14262955;12389200.4454863,DROP
2374159E,2374159E,1448193.53787018;12389252.6791625,DROP
4195878E,4195878E,1446252.83763135;12386253.9421515,DROP
4195879E,4195879E,1446300.97106129;12386370.4344322,DROP
4207474E,4207474E,1445086.61262851;12390504.001399,DROP
4588829E,4588829E,1446770.64506026;12386483.555145,DROP
905168E,905168E,1448331.54199866;12383187.5554646,DROP
2107918E,2107918E,1440482.78546812;12397044.6970871,DROP
2121222E,2121222E,1440986.95477924;12397890.5907715,FLAT
2158864E,2158864E,1443426.46446027;12394006.1228568,DROP
2158866E,2158866E,1443425.7226004;12393396.9092272,DROP
2174564E,2174564E,1445872.43119828;12396937.3789522,DROP
2237351E,2237351E,1445941.19942094;12399289.8024039,DROP
2262369E,2262369E,1439313.96357948;12393125.4823504,FLAT
2269229E,2269229E,1442909.56853569;12394814.4658515,DROP
2269491E,2269491E,1441402.3268508;12398271.5898477,FLAT
2362277E,2362277E,1440561.7754691;12392788.4426185,FLAT
4120139E,4120139E,1445887.04491582;12393110.8474519,DROP
4383142E,4383142E,1445892.79197813;12392781.6270694,DROP
4383143E,4383143E,1445891.38183849;12392932.5047217,DROP
4475929E,4475929E,1437501.62946011;12398413.5958503,DROP
4172971E,4172971E,1410725.34154524;12333340.1447023,FLAT
4624246E,4624246E,1412722.2576571;12327305.4228779,N/A
4624248E,4624248E,1412406.04430295;12327500.3681402,N/A
1335991E,1335991E,1238856.3114388;12319832.5093332,DROP
1336005E,1336005E,1234208.85812755;12318060.1087022,DROP
1336326E,4469721E,1234157.75531863;12317924.3448723,FLAT
1713347E,1713347E,1234195.1491833;12323392.64374,DROP
1713493E,1713493E,1233145.43777063;12323405.2838648,DROP
1766903E,1766903E,1243099.95751418;12320462.284516,DROP
1791571E,4179116E,1240804.14412135;12320685.0919698,FLAT
1836195E,4470287E,1235027.39728387;12317878.4958921,FLAT
2247604E,2247604E,1239990.94247808;12317814.0202834,DROP
2247705E,2247705E,1237965.55033236;12317302.3980915,DROP
2247756E,2247756E,1233147.82957568;12323820.2025553,DROP
4087093E,4087093E,1238481.27390173;12318440.5569554,DROP
4258290E,4258290E,1241000.60665428;12320491.5639228,DROP
4416182E,4416182E,1235538.06092629;12321936.3660749,FLAT
4489120E,4815044E,1242800.82285574;12317755.5208495,DROP
4584335E,4584335E,1237503.86679877;12320093.0494236,FLAT
4584960E,4584960E,1234647.06555095;12317919.3621541,FLAT
4584996E,4560892E,1235445.90160971;12318767.9511605,FLAT
4585212E,4585212E,1237837.41656902;12321555.70787,FLAT
4585248E,4585248E,1237217.56641221;12322282.0052198,FLAT
4596230E,4596230E,1236619.90857823;12321242.3929053,FLAT
4596691E,4596691E,1234886.50197829;12320886.963019,FLAT
4717363E,4717363E,1238560.37418536;12319834.3526874,DROP
4756939E,4756939E,1242067.97549267;12317760.0436494,DROP
601736H,601736H,1239790.93761724;12320659.2603815,DROP
701816E,701816E,1240983.2262095;12321385.6753455,DROP
968829E,968829E,1242657.78342073;12319290.1834226,DROP
CONV568771,CONV568771,1238287.45295088;12319837.8990006,DROP
CONV568772,CONV568772,1238424.4249464;12319837.1200889,DROP
CONV568776,CONV568776,1239097.29345752;12319833.377641,DROP
CONV568777,CONV568777,1238974.30277723;12319832.9751807,DROP
CONV568778,1335960E,1239347.27301053;12319834.1285387,DROP
CONV568779,1335959E,1239494.34644951;12319841.2178266,DROP
CONV568780,CONV568780,1239513.16460735;12320003.2814859,DROP
CONV569149,603696E,1240045.86486498;12322973.0364784,DROP
X12396E,X12396E,1241309.30539883;12320471.5540541,DROP
4145156E,4145156E,1274302.52736845;12588091.3574838,DROP
4145161E,4145161E,1274952.86108499;12588075.8959406,DROP
4203783E,4203783E,1275247.73842553;12588487.2668858,DROP
4203794E,4203794E,1274740.51977449;12589081.1572476,DROP
4483803E,4483803E,1277438.67101716;12600675.6910572,DROP
4576697E,4576697E,1276686.57671706;12593990.8618129,DROP
4587919E,4587919E,1274062.18558131;12587945.7830053,DROP
4599333E,4599333E,1275303.35425389;12590889.5845697,DROP
4638403E,4638403E,1276005.95520427;12593983.7744119,DROP
4688075E,4688075E,1277350.15512692;12601302.72152,DROP
4688076E,4688076E,1277488.37571734;12601301.8106708,DROP
4688091E,4688091E,1278579.14707158;12600705.5000002,DROP
4688094E,4688094E,1278092.87262198;12600983.5817487,DROP
1897148E,1897148E,1281266.68553237;12587161.1159125,DROP
1898252E,1898252E,1279364.05595016;12586693.6140509,DROP
1938325E,1938325E,1281208.56339397;12585486.9776976,DROP
2014880E,2014880E,1283820.11844707;12587494.118854,DROP
2208237E,2208237E,1282826.84931767;12585527.7463306,DROP
2208635E,2208635E,1284622.85385863;12585672.9088966,DROP
2238314E,2238314E,1279316.27904933;12590410.5057956,DROP
2259654E,2259654E,1282024.29848012;12587387.6994261,DROP
2293950E,2293950E,1284659.91158422;12585840.3829485,DROP
2294133E,2294133E,1284679.96291754;12584573.9816343,DROP
2305631E,2305631E,1279447.76270076;12586166.5088514,DROP
2365235E,2365235E,1279332.44949538;12591758.6449588,DROP
2383232E,2383232E,1284659.06363591;12587202.4094689,DROP
4011640E,4011640E,1281834.33234261;12590593.3762508,DROP
4011641E,4011641E,1281949.63590266;12590593.9258478,DROP
4011646E,4011646E,1281793.77208738;12590187.3020046,DROP
4011710E,4011710E,1279918.48649155;12585342.4348427,DROP
4040384E,4040384E,1281179.52018787;12585296.6097856,DROP
4084212E,4084212E,1284668.78705728;12587917.9390339,DROP
4089567E,4089567E,1281503.41046829;12591350.1054812,DROP
4231732E,4231732E,1282558.59044638;12589267.9154288,DROP
4515607E,4515607E,1278189.14215148;12593123.1786326,DROP
4608924E,4608924E,1283096.6650031;12589585.4703475,DROP
4628648E,4628648E,1282607.52747317;12584612.0160711,DROP
4670466E,4670466E,1280179.73268445;12592563.3980326,DROP
K10513Y,K10513Y,1283262.10864738;12585143.5191269,DROP
1128372E,1128372E,1346920.71950494;12336945.6866139,DROP
1303891E,1303891E,1343243.08897143;12339832.9940841,DROP
1890344E,1890344E,1343304.20071666;12337769.6209934,DROP
1890351E,1890351E,1342952.71626294;12338034.1457522,DROP
1891148E,1891148E,1345379.26319779;12336655.8244979,DROP
1917910E,1917910E,1339737.51668057;12339470.1666501,DROP
2209814E,2209814E,1346248.50044022;12339988.8100167,DROP
2209820E,2209820E,1345865.57000407;12339450.9107242,DROP
2314756E,2314756E,1341524.79294202;12341165.1063892,DROP
4082456E,4082456E,1345635.77107318;12335875.9500077,DROP
4098344E,4098344E,1341143.16703749;12339345.4462049,DROP
4374678E,4374678E,1337001.06402428;12343519.2881965,N/A
1418333E,1418333E,1385686.91175847;12335230.6305273,DROP
1507856E,1507856E,1383791.8396782;12332861.4248385,DROP
2126307E,2126307E,1386288.40167967;12332684.451222,DROP
2209756E,2209756E,1383612.23388429;12330995.8784955,DROP
2213314E,2213314E,1385842.97818884;12330486.1833173,DROP
2219613E,2219613E,1382683.11174264;12338714.4908119,DROP
2220683E,2220683E,1383751.22776703;12334074.2001869,DROP
2220687E,2220693E,1384058.75088147;12334332.9931864,DROP
2336128E,2336128E,1381618.3202495;12337797.5812025,DROP
4007084E,4007084E,1382665.03198844;12335723.2765882,DROP
4022010E,4022010E,1381232.6487256;12336333.2553903,DROP
4022011E,4022011E,1381228.32677521;12336460.7593358,DROP
4022012E,4022012E,1381220.8742411;12336575.2993459,DROP
4031124E,4031124E,1382089.13053925;12336801.5560875,DROP
4115808E,4115808E,1382697.72500076;12332772.1103128,DROP
4133577E,4133577E,1386611.77117132;12334744.1234399,DROP
4511424E,4511424E,1381728.75622659;12334878.7465979,N/A
4526644E,4526644E,1382711.81472537;12333633.5264725,FLAT
CONV597224,CONV597224,1385017.09489279;12338346.0370751,DROP
1627416E,1627416E,1390846.52472551;12339481.0455812,DROP
1654631E,1654631E,1387119.57824099;12338841.8044887,DROP
1862556E,1862556E,1389304.6849366;12340880.8175877,DROP
2297971E,2297971E,1389363.32901177;12341591.0825529,DROP
2354344E,2354344E,1390903.60180736;12345696.7864756,DROP
4022052E,4022052E,1386383.53518714;12342307.3525158,DROP
4022061E,4022061E,1386213.06608942;12341780.6623949,DROP
4022075E,4022075E,1386465.80277159;12343078.0324579,DROP
4022081E,4022081E,1386846.39402918;12343454.5721357,DROP
4022093E,4022093E,1388190.39623553;12344289.4076701,DROP
4031161E,4031161E,1387626.96476024;12344044.2868942,DROP
4031259E,4031259E,1389161.59363116;12344268.654209,DROP
4031355E,4031355E,1386482.35550192;12342402.0469837,DROP
4031359E,4031359E,1387017.21756898;12342977.2542269,DROP
4046753E,4046753E,1390394.19859713;12339070.2943575,DROP
4046759E,4046759E,1390986.42236802;12339562.9183681,DROP
4511467E,4154110E,1387469.19693148;12344042.6895782,DROP
4626903E,4626903E,1390943.43555206;12345806.0662647,FLAT
4626907E,4626907E,1391338.09720379;12346309.7256788,DROP
4743764E,4743764E,1390260.30432996;12338965.6734661,DROP
